Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,30.200001,30.549999,29.920000,30.150000,28.938520,5831200
2019-06-18,30.440001,30.719999,30.270000,30.610001,29.380033,7063300
2019-06-19,30.500000,30.840000,30.389999,30.840000,29.600792,8281000
2019-06-21,31.110001,32.029999,31.110001,31.790001,30.512621,15423400
2019-06-24,31.879999,32.000000,31.590000,31.660000,30.387842,8733700
2019-06-25,31.500000,31.540001,30.580000,30.700001,29.466419,15188900
2019-06-26,30.309999,30.920000,30.250000,30.549999,29.322447,67560800
2019-06-27,30.260000,30.389999,29.580000,29.889999,28.688963,40733300
2019-06-28,30.110001,30.450001,29.709999,30.020000,28.813742,15244600
2019-07-01,30.440001,30.650000,29.799999,29.920000,28.717760,19745200
2019-07-02,29.860001,30.000000,29.200001,29.469999,28.285841,19670800
2019-07-03,29.610001,29.879999,29.420000,29.770000,28.573788,7998500
2019-07-04,30.000000,30.360001,30.000000,30.160000,28.948116,6386500
2019-07-05,30.020000,30.299999,29.820000,30.030001,28.823339,9364700
2019-07-08,30.080000,30.610001,30.010000,30.610001,29.380033,8645300
2019-07-10,30.809999,30.980000,30.600000,30.719999,29.485613,22198500
2019-07-11,30.830000,31.400000,30.730000,31.299999,30.042309,13559200
2019-07-12,31.379999,31.670000,31.240000,31.500000,30.234274,10042900
2019-07-15,31.610001,31.610001,30.959999,30.969999,29.725567,6454700
2019-07-16,30.889999,31.150000,30.400000,30.600000,29.370436,7615500
2019-07-17,30.709999,30.719999,30.250000,30.400000,29.178474,6462900
2019-07-18,30.500000,30.500000,29.910000,30.070000,28.861732,8938700
2019-07-19,30.090000,30.190001,29.840000,30.059999,28.852135,7528900
2019-07-22,30.200001,30.320000,29.910000,30.100000,28.890528,4522800
2019-07-23,30.139999,30.379999,29.959999,30.250000,29.034500,8954300
2019-07-24,30.290001,30.490000,29.950001,30.000000,28.794546,7511900
2019-07-25,30.110001,30.200001,29.320000,29.459999,28.276241,5954300
2019-07-26,29.389999,29.389999,28.410000,28.540001,27.393211,12630300
2019-07-29,28.540001,28.920000,28.350000,28.889999,27.729147,6187400
2019-07-30,28.690001,29.049999,28.559999,28.700001,27.546783,6561600
2019-07-31,29.000000,29.010000,28.459999,28.790001,27.633165,8380000
2019-08-01,29.040001,29.200001,27.860001,28.350000,27.210846,11699000
2019-08-02,29.190001,29.740000,28.889999,29.209999,28.036289,13359900
2019-08-05,28.590000,28.680000,27.930000,28.000000,26.874908,12218900
